Price,Score,Reviews_number,Experience,Status,Video_presentation,Photo,Adults,All,Children 1-3 years old,Children 4-5 years old,Children 6-7 years old,Pupils of 1-4 grades,Pupils of 10-11 grades,Pupils of 5-9 grades,Students
1800,5.0,26,21,4,0,0,0,1,0,0,0,0,0,0,0
2500,4.9,41,29,4,0,1,0,0,0,0,0,0,1,0,1
1500,5.0,14,11,4,1,1,1,0,0,0,1,0,1,0,1
1300,5.0,41,39,4,0,0,0,1,0,0,0,0,0,0,0
1500,5.0,35,9,2,0,1,0,0,0,0,0,0,1,0,0
2000,4.9,33,9,3,0,1,1,0,0,0,0,0,1,0,1
2000,4.9,12,9,4,1,1,1,0,1,1,1,0,1,0,1
6000,5.0,23,17,6,0,0,0,1,0,0,0,0,0,0,0
2000,5.0,26,13,4,1,1,1,0,0,1,1,0,1,0,1
3000,5.0,64,26,5,0,1,0,0,0,0,0,0,1,0,0
2000,4.9,12,23,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.9,14,6,4,1,1,1,0,1,1,1,0,1,0,1
2000,5.0,21,36,4,0,1,1,0,0,0,0,0,1,0,0
1350,4.9,32,12,4,0,1,1,0,0,0,0,0,1,0,1
1400,4.9,39,20,4,1,1,1,0,0,0,0,0,1,0,1
1400,5.0,42,13,4,0,1,0,0,0,0,0,0,1,0,1
1000,4.8,9,7,4,0,0,0,1,0,0,0,0,0,0,0
4000,5.0,13,9,5,1,1,1,0,0,0,1,0,1,0,1
2000,5.0,33,16,5,0,1,1,0,0,0,0,0,1,0,1
1400,5.0,41,14,4,0,0,0,1,0,0,0,0,0,0,0
1900,4.9,55,14,4,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,48,9,4,0,0,0,1,0,0,0,0,0,0,0
1500,4.9,83,11,4,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,21,9,4,1,1,1,0,0,0,0,0,1,0,1
1400,5.0,13,8,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.8,73,13,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,40,22,4,0,1,1,0,0,0,1,0,1,0,1
1100,4.9,82,15,4,0,1,1,0,0,0,0,0,0,0,1
2000,5.0,13,6,4,1,1,0,0,0,0,0,0,0,1,0
1000,5.0,63,12,4,0,1,0,0,0,0,0,0,1,0,1
600,5.0,17,3,1,1,1,1,0,1,1,1,0,1,0,1
1500,5.0,20,5,4,1,1,1,0,1,1,1,0,1,0,1
2000,4.9,33,49,4,1,1,1,0,0,0,0,0,1,0,0
2000,4.8,60,31,2,0,1,0,0,0,0,0,0,1,0,1
2500,4.5,24,19,4,1,1,1,0,0,0,0,0,1,0,1
2000,4.9,33,8,4,1,1,1,0,0,0,1,0,1,0,1
1200,5.0,31,23,4,0,1,0,0,0,0,0,0,1,0,0
2500,5.0,16,6,4,1,1,0,0,0,0,0,0,1,0,0
2500,5.0,38,10,4,0,1,1,0,0,0,0,0,1,0,0
2000,4.9,22,9,4,1,1,1,0,1,1,1,0,1,0,1
2000,4.9,58,11,2,1,1,0,0,0,0,0,0,1,0,1
1200,5.0,9,13,4,0,1,1,0,0,0,0,0,1,0,1
1600,4.9,172,24,4,0,1,1,0,0,0,0,0,1,0,1
1500,5.0,23,8,4,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,21,7,4,1,1,0,0,0,0,0,0,1,0,0
2000,5.0,15,10,4,1,1,0,0,0,0,0,0,1,0,0
2500,5.0,46,11,4,0,1,0,0,0,0,0,0,1,0,0
1200,4.9,34,11,4,1,1,1,0,0,0,1,0,1,0,1
1000,4.9,102,43,4,0,1,0,0,0,0,0,0,1,0,1
1000,4.8,31,16,4,1,1,1,0,0,0,0,0,1,0,1
2000,5.0,35,10,4,1,1,1,0,0,0,0,0,1,0,1
2500,5.0,36,33,4,1,1,0,0,0,0,0,0,1,0,0
2000,4.9,31,16,4,1,1,1,0,0,0,0,0,1,0,1
1500,4.9,38,7,4,1,1,0,0,0,0,0,0,1,0,0
1900,4.8,116,15,4,0,0,0,1,0,0,0,0,0,0,0
2500,4.9,66,21,4,0,0,0,1,0,0,0,0,0,0,0
3000,4.9,22,7,2,0,1,1,0,0,0,0,0,1,0,1
2000,4.7,38,34,4,0,0,0,1,0,0,0,0,0,0,0
2000,4.9,129,27,4,0,0,0,1,0,0,0,0,0,0,0
2000,5.0,1,26,4,1,1,1,0,0,0,0,0,1,0,1
3000,5.0,92,9,5,0,1,1,0,0,0,0,0,1,0,1
2000,5.0,29,23,5,1,1,1,0,0,0,0,0,1,0,1
2000,4.7,34,9,4,0,0,0,1,0,0,0,0,0,0,0
1500,5.0,76,25,4,0,1,1,0,0,0,0,0,1,0,0
1900,4.9,23,10,4,1,1,1,0,0,0,0,0,1,0,1
2500,4.9,23,8,4,1,1,0,0,0,0,0,0,1,0,0
1750,5.0,45,26,2,0,1,0,0,0,0,1,0,1,0,0
2000,5.0,8,16,4,0,1,1,0,0,0,1,0,1,0,1
1300,4.9,64,18,4,0,0,0,1,0,0,0,0,0,0,0
1000,4.9,26,10,4,1,1,1,0,0,0,0,0,1,0,1
1000,5.0,14,6,4,1,1,1,0,0,0,0,0,1,0,1
1000,4.9,26,13,4,0,0,0,1,0,0,0,0,0,0,0
1700,4.9,32,41,4,1,1,1,0,0,0,0,0,1,0,0
3000,4.9,39,25,4,0,1,1,0,0,0,0,0,1,0,0
1000,4.8,43,57,4,0,0,0,1,0,0,0,0,0,0,0
1800,4.9,18,12,4,1,1,1,0,0,0,0,0,1,0,1
2700,5.0,11,23,4,1,1,0,0,0,0,0,0,1,0,1
2000,5.0,49,30,4,0,1,1,0,0,0,0,0,1,0,1
1200,5.0,24,17,4,1,1,1,0,0,0,0,0,1,0,1
1500,5.0,4,9,2,1,1,0,0,0,0,0,0,1,0,0
1000,4.9,116,12,4,0,1,1,0,0,1,1,0,1,0,1
1200,4.5,54,15,4,1,1,1,0,0,0,1,0,1,0,1
1000,5.0,16,4,4,1,1,1,0,1,1,1,0,1,0,1
1500,5.0,35,15,4,0,0,0,1,0,0,0,0,0,0,0
2000,4.8,28,6,6,1,1,1,0,0,0,0,0,1,0,1
1000,5.0,23,17,4,1,1,1,0,0,0,0,0,1,0,1
2000,4.8,106,49,4,1,1,1,0,0,0,0,0,1,0,0
1500,4.9,17,6,4,1,1,0,0,0,0,0,0,1,0,0
1000,4.9,27,9,4,0,1,1,0,0,0,0,0,1,0,1
1350,4.9,86,34,4,0,1,0,0,0,0,0,0,1,0,0
1500,4.8,50,17,4,0,0,0,1,0,0,0,0,0,0,0
1500,4.7,19,4,2,1,1,1,0,0,0,0,0,1,0,1
2000,4.8,46,18,4,0,1,1,0,0,0,0,0,1,0,0
600,5.0,23,6,4,0,1,1,0,0,1,1,0,1,0,1
2500,4.9,82,13,4,0,1,1,0,0,0,0,0,1,0,1
800,4.9,34,28,4,1,1,0,0,0,0,0,0,1,0,0
2500,5.0,27,28,2,0,1,1,0,0,0,0,0,1,0,1
1200,5.0,39,35,5,0,1,0,0,0,0,0,0,1,0,0
1200,5.0,14,3,4,0,0,0,1,0,0,0,0,0,0,0
1600,5.0,13,6,4,0,0,0,1,0,0,0,0,0,0,0
1400,5.0,15,13,4,1,1,1,0,0,0,0,0,1,0,1
1800,4.8,40,16,4,0,1,1,0,0,1,1,0,1,0,1
2500,4.9,34,15,4,1,1,1,0,0,0,0,0,1,0,1
1000,4.9,20,32,4,1,1,1,0,0,0,0,0,1,0,1
2500,4.9,53,13,4,0,1,1,0,0,0,0,0,1,0,1
1250,4.9,30,15,4,0,0,0,1,0,0,0,0,0,0,0
2000,4.9,19,10,4,1,1,0,0,0,0,0,0,1,0,0
1350,5.0,9,7,4,1,1,1,0,0,0,0,0,1,0,1
3000,5.0,19,17,2,1,1,0,0,0,0,0,0,1,0,0
1500,5.0,81,22,4,0,1,0,0,0,0,0,0,1,0,1
2400,4.8,71,12,4,0,1,0,0,0,0,0,0,1,0,1
2000,4.9,29,6,4,0,1,1,0,0,0,0,0,0,0,1
1500,5.0,31,18,4,1,1,1,0,0,0,0,0,1,0,1
1350,5.0,36,17,5,0,1,0,0,0,0,0,0,0,1,0
1300,4.9,17,13,4,0,1,1,0,0,0,1,0,1,0,1
1500,4.9,52,23,2,0,1,1,0,0,0,0,0,1,0,1
1200,4.9,60,36,4,0,1,1,0,0,0,0,0,1,0,1
2000,4.9,50,23,4,0,1,1,0,0,0,1,0,1,0,1
900,5.0,15,15,4,1,1,0,0,0,0,0,0,1,0,0
1500,4.6,26,14,5,0,1,0,0,0,0,0,0,1,0,0
1700,4.9,27,23,4,0,1,1,0,0,0,0,0,1,0,1
